country,has_financial_data,total_squad_value,star_player_value,star_reliance_gini,haaland_flag,avg_age,age_peak_score,n_past_prime,n_youth_u24,avg_caps,total_squad_goals,pct_elite_league,total_club_minutes,avg_club_minutes,burnout_coverage,max_club_players,top_club,formation,depth_gk,depth_def,depth_mid,depth_att,depth_overall,n_injured,pct_value_injured,manager,tenure_days,has_elite_pedigree,group,squad_rank,full_elo,hot_elo,elo_volatility
Argentina,1,784550000.0,90000000.0,0.516,0,29.3,0.894,3,3,48.5,223,0.667,39203,1452.0,0.704,6,Atlético Madrid,4-3-3,0.792,0.196,0.176,0.303,0.367,0,0.0,Lionel Scaloni,2830,1,J,1,2096.6,1745.1,3.2
Spain,1,1247400000.0,200000000.0,0.406,0,26.7,0.975,1,8,28.6,117,0.962,54159,2083.0,0.962,8,Barcelona,4-3-3,0.75,0.29,0.369,0.257,0.416,0,0.0,Luis de la Fuente,1242,1,H,2,2120.6,1753.5,3.6
France,1,1473500000.0,200000000.0,0.385,0,27.0,0.964,1,6,30.9,100,0.923,56716,2181.0,0.962,5,Paris Saint-Germain,4-3-3,0.66,0.381,0.467,0.418,0.481,0,0.0,Didier Deschamps,5047,1,I,3,2054.7,1719.8,4.6
Brazil,1,623650000.0,150000000.0,0.663,0,29.4,0.828,5,2,35.2,152,0.385,26325,1012.0,0.538,4,Flamengo,4-3-3,0.029,0.045,0.082,0.236,0.098,0,0.0,Carlo Ancelotti,342,1,C,4,2044.3,1720.9,3.4
England,1,1315000000.0,140000000.0,0.355,0,27.3,0.945,1,7,32.2,149,0.962,59668,2295.0,0.962,4,Manchester City,4-3-3,0.714,0.473,0.379,0.429,0.499,0,0.0,Thomas Tuchel,487,1,L,5,2023.3,1731.3,5.6
Colombia,1,195100000.0,27000000.0,0.549,0,30.1,0.823,5,2,40.1,108,0.308,19236,740.0,0.385,2,Crystal Palace,4-4-2,0.14,0.12,0.259,0.165,0.171,0,0.0,Néstor Lorenzo,1431,0,K,6,1992.2,1724.9,3.6
Portugal,1,824250000.0,110000000.0,0.423,0,28.0,0.929,1,3,44.6,259,0.654,47823,1839.0,0.846,4,Paris Saint-Germain,4-3-3,0.375,0.328,0.308,0.405,0.354,0,0.0,Roberto Martínez,1210,1,K,7,2028.8,1718.4,4.9
Netherlands,1,790000000.0,90000000.0,0.353,0,27.8,0.926,2,3,33.1,153,0.885,52310,2012.0,0.962,3,Brighton & Hove Albion,4-3-3,0.412,0.488,0.288,0.349,0.384,0,0.0,Ronald Koeman,1196,1,F,8,2000.7,1716.4,2.3
Japan,1,261900000.0,30000000.0,0.42,0,27.5,0.928,2,4,30.6,110,0.462,37088,1426.0,0.846,2,Sint-Truiden,4-2-3-1,0.088,0.268,0.399,0.392,0.287,0,0.0,Hajime Moriyasu,2838,0,F,9,1926.3,1648.4,2.9
Mexico,1,194200000.0,20000000.0,0.371,0,27.9,0.957,1,5,46.7,117,0.154,9274,357.0,0.346,5,Guadalajara,4-3-3,0.333,0.285,0.581,0.281,0.37,0,0.0,Javier Aguirre,650,1,A,10,1913.0,1614.1,1.8
Germany,1,975500000.0,120000000.0,0.409,0,28.0,0.945,1,6,32.5,105,0.962,57469,2210.0,1.0,6,Bayern Munich,4-4-2,0.292,0.451,0.274,0.539,0.389,0,0.0,Julian Nagelsmann,954,1,E,11,1976.0,1707.1,5.5
Uruguay,1,380150000.0,120000000.0,0.558,1,28.7,0.934,2,0,34.9,74,0.296,17275,640.0,0.37,3,Flamengo,4-2-3-1,0.625,0.227,0.19,0.19,0.308,0,0.0,Marcelo Bielsa,1084,1,H,12,1945.2,1711.6,3.7
Morocco,1,417150000.0,80000000.0,0.545,0,26.6,0.936,1,8,26.8,98,0.577,32138,1236.0,0.808,2,PSV Eindhoven,4-2-3-1,0.371,0.161,0.393,0.104,0.257,0,0.0,Mohamed Ouahbi,59,0,C,13,1899.7,1704.7,6.0
Iran,1,20231250.0,2800000.0,0.525,0,30.3,0.818,4,2,45.0,150,0.0,3731,155.0,0.125,4,Tractor,4-3-3,0.333,0.094,0.197,0.3,0.231,0,0.0,Amir Ghalenoei,1147,0,G,14,1882.4,1626.7,2.9
Belgium,1,558200000.0,65000000.0,0.341,0,27.6,0.843,5,7,41.7,214,0.808,54687,2103.0,1.0,3,Club Brugge,4-3-3,0.667,0.436,0.311,0.4,0.454,0,0.0,Rudi Garcia,464,1,G,15,1938.1,1697.0,3.8
Ecuador,1,359525000.0,110000000.0,0.721,1,26.1,0.934,2,8,29.7,95,0.269,23596,908.0,0.577,3,Atlético Mineiro,4-3-3,0.234,0.068,0.068,0.223,0.148,0,0.0,Sebastián Beccacece,639,0,E,16,1898.2,1715.6,1.7
Croatia,1,366912000.0,70000000.0,0.524,0,28.3,0.862,4,5,44.6,153,0.654,39472,1579.0,0.92,2,Manchester City,4-2-3-1,0.667,0.114,0.39,0.416,0.397,0,0.0,Zlatko Dalić,3130,0,L,17,1933.8,1700.8,1.9
Senegal,1,455300000.0,50000000.0,0.481,0,27.1,0.908,2,9,37.9,131,0.731,35044,1348.0,0.846,2,Nice,4-3-3,0.393,0.234,0.247,0.374,0.312,0,0.0,Pape Thiaw,506,0,I,18,1877.4,1689.8,6.2
